G,Date,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
22,2023-01-25,American,L,61,63,23,49,.469,4,17,.235,11,13,.846,3,22,8,6,1,15,14,25,51,.490,4,14,.286,9,10,.900,6,26,11,7,7,14,13
23,2023-01-28,Holy Cross,W,66,55,25,60,.417,7,25,.280,9,15,.600,13,38,13,9,3,10,12,22,51,.431,3,13,.231,8,15,.533,4,28,12,5,2,12,14
24,2023-02-01,Lehigh,W,71,69,25,54,.463,6,16,.375,15,18,.833,8,34,9,2,2,18,23,24,58,.414,3,19,.158,18,26,.692,7,26,12,9,2,8,15
25,2023-02-04,Bucknell,L,67,73,27,66,.409,8,19,.421,5,11,.455,11,33,10,3,3,11,20,24,51,.471,6,18,.333,19,24,.792,5,27,11,5,9,10,15
26,2023-02-08,Loyola (MD),W,76,70,29,55,.527,5,18,.278,13,23,.565,10,32,11,10,2,13,17,26,54,.481,8,22,.364,10,15,.667,5,25,11,8,4,13,21
27,2023-02-11,Navy,L,53,70,16,52,.308,4,17,.235,17,22,.773,11,34,10,5,0,15,17,24,56,.429,7,28,.250,15,19,.789,6,31,18,9,5,8,19
28,2023-02-15,Colgate,L,86,93,35,62,.565,11,22,.500,5,8,.625,7,26,20,6,5,15,16,33,60,.550,15,27,.556,12,21,.571,9,30,22,10,3,11,10
29,2023-02-18,Lafayette,W,53,43,20,52,.385,5,24,.208,8,16,.500,7,37,10,2,3,9,12,16,63,.254,6,30,.200,5,9,.556,17,42,12,2,3,9,15
30,2023-02-22,Boston University,L,67,73,25,54,.463,5,20,.250,12,22,.545,8,36,9,4,4,10,18,25,59,.424,7,17,.412,16,20,.800,6,28,12,3,3,8,18
31,2023-02-25,Holy Cross,W,80,65,32,67,.478,8,22,.364,8,14,.571,10,37,14,5,2,5,14,28,62,.452,3,13,.231,6,12,.500,9,33,12,4,5,10,14
32,2023-03-02,Boston University,W (1 OT),71,69,22,58,.379,6,26,.231,21,26,.808,5,36,8,4,2,8,15,28,69,.406,11,32,.344,2,7,.286,9,38,8,3,0,10,19
33,2023-03-05,Colgate,L,74,91,27,53,.509,10,27,.370,10,13,.769,1,27,18,3,1,15,19,33,63,.524,9,23,.391,16,24,.667,6,31,27,7,3,5,12
1,2022-11-07,George Mason,W,70,52,24,71,.338,4,25,.160,18,29,.621,19,42,12,14,10,9,16,21,56,.375,7,20,.350,3,8,.375,7,31,9,3,4,19,23
2,2022-11-11,South Florida,W,67,59,21,52,.404,5,25,.200,20,32,.625,12,37,12,11,7,18,22,22,62,.355,2,14,.143,13,25,.520,16,36,7,10,1,16,23
3,2022-11-15,Winthrop,W,89,65,34,73,.466,9,23,.391,12,20,.600,23,51,17,7,11,7,18,22,61,.361,6,21,.286,15,23,.652,15,32,9,5,3,11,13
4,2022-11-18,Texas Southern,W,72,56,25,56,.446,7,27,.259,15,20,.750,8,31,20,14,8,20,21,22,61,.361,1,11,.091,11,16,.688,13,30,8,14,3,19,17
5,2022-11-22,Bradley,W,85,64,31,55,.564,8,17,.471,15,20,.750,7,31,18,8,5,13,19,24,56,.429,8,24,.333,8,13,.615,7,22,14,6,1,13,18
6,2022-11-23,Northwestern,W,43,42,13,50,.260,5,21,.238,12,18,.667,8,37,7,4,6,14,18,14,56,.250,2,24,.083,12,16,.750,8,33,4,8,8,8,16
7,2022-11-27,Saint Louis,W,65,60,24,59,.407,3,16,.188,14,22,.636,7,38,10,6,11,11,17,25,65,.385,6,21,.286,4,14,.286,7,34,13,5,2,12,20
8,2022-12-02,Colgate,W,93,66,37,67,.552,10,22,.455,9,16,.563,12,37,14,10,8,8,17,25,57,.439,8,18,.444,8,19,.421,9,30,11,6,3,12,15
9,2022-12-10,Memphis,L,73,82,24,63,.381,6,24,.250,19,24,.792,11,32,11,6,2,15,22,30,60,.500,4,11,.364,18,25,.720,13,40,14,9,2,19,23
10,2022-12-14,Georgia State,W,72,64,25,49,.510,3,12,.250,19,30,.633,7,26,12,9,11,11,17,22,58,.379,5,17,.294,15,20,.750,12,29,11,4,2,13,25
11,2022-12-18,USC,L,71,74,22,47,.468,8,23,.348,19,24,.792,9,30,15,7,4,22,25,24,52,.462,4,13,.308,22,27,.815,8,19,12,13,1,11,15
12,2022-12-21,Washington,W,84,61,33,59,.559,8,17,.471,10,16,.625,10,38,22,9,2,15,19,21,57,.368,5,20,.250,14,18,.778,5,23,7,8,4,14,13
13,2022-12-28,Florida,W,61,58,21,55,.382,3,14,.214,16,24,.667,12,31,16,8,3,14,16,19,47,.404,3,19,.158,17,19,.895,5,26,9,9,6,12,18
14,2023-01-04,Georgia,L,64,76,24,69,.348,6,28,.214,10,16,.625,16,39,14,6,4,10,20,24,53,.453,6,15,.400,22,32,.688,8,34,11,10,3,10,19
15,2023-01-07,Arkansas,W,72,59,24,55,.436,7,21,.333,17,22,.773,7,30,13,8,7,8,20,19,56,.339,2,16,.125,19,32,.594,15,42,9,4,5,13,21
16,2023-01-10,Ole Miss,W,82,73,30,61,.492,4,14,.286,18,22,.818,7,30,19,8,1,9,17,24,55,.436,9,25,.360,16,18,.889,6,28,14,6,8,11,17
17,2023-01-14,Mississippi State,W,69,63,24,55,.436,11,25,.440,10,13,.769,8,26,11,10,1,18,22,21,56,.375,0,18,.000,21,28,.750,15,36,7,9,4,15,14
18,2023-01-18,LSU,W,67,49,26,59,.441,8,24,.333,7,11,.636,10,39,11,8,7,8,16,17,58,.293,4,20,.200,11,17,.647,11,33,7,5,5,11,13
19,2023-01-21,South Carolina,W,81,66,30,60,.500,3,17,.176,18,25,.720,10,35,20,8,4,8,16,20,56,.357,7,28,.250,19,24,.792,10,32,8,6,2,13,23
20,2023-01-25,Texas A&M,L,63,79,21,49,.429,3,16,.188,18,24,.750,6,24,14,3,10,13,18,26,55,.473,7,19,.368,20,24,.833,8,31,11,8,1,9,18
21,2023-01-28,West Virginia,L,77,80,29,59,.492,6,19,.316,13,18,.722,7,28,15,7,3,13,21,25,54,.463,9,20,.450,21,25,.840,8,28,16,9,2,11,13
22,2023-02-01,Georgia,W,94,73,36,64,.563,9,25,.360,13,21,.619,11,34,22,8,3,5,16,23,53,.434,14,34,.412,13,19,.684,9,26,14,4,0,13,20
23,2023-02-04,Tennessee,L,43,46,13,55,.236,3,27,.111,14,19,.737,7,40,5,9,4,10,18,17,63,.270,2,21,.095,10,17,.588,12,43,11,5,3,9,14
24,2023-02-07,Texas A&M,L,78,83,30,64,.469,9,24,.375,9,14,.643,11,33,16,10,5,10,27,23,54,.426,6,18,.333,31,39,.795,13,34,12,5,4,12,17
25,2023-02-11,Alabama,L,69,77,20,62,.323,7,24,.292,22,26,.846,13,31,11,9,2,10,20,29,49,.592,6,21,.286,13,23,.565,6,33,14,7,5,12,16
26,2023-02-14,Missouri,W,89,56,32,66,.485,9,18,.500,16,20,.800,16,48,21,9,5,15,19,18,57,.316,5,22,.227,15,18,.833,7,25,10,6,4,15,16
27,2023-02-18,Vanderbilt,L,65,67,27,62,.435,6,19,.316,5,10,.500,7,30,13,6,2,9,18,20,56,.357,7,18,.389,20,27,.741,12,39,14,6,6,10,11
28,2023-02-22,Ole Miss,W,78,74,25,52,.481,6,17,.353,22,24,.917,5,24,15,4,10,12,20,24,58,.414,6,18,.333,20,32,.625,15,33,9,9,1,9,20
29,2023-02-25,Kentucky,L,54,86,19,56,.339,7,21,.333,9,14,.643,7,18,4,5,1,12,17,32,57,.561,8,13,.615,14,15,.933,12,38,16,10,1,10,17
30,2023-03-01,Alabama,L (1 OT),85,90,29,63,.460,12,20,.600,15,24,.625,9,34,13,7,0,17,29,29,66,.439,8,31,.258,24,31,.774,12,32,16,10,5,14,20
31,2023-03-04,Tennessee,W,79,70,28,57,.491,8,22,.364,15,20,.750,7,28,18,6,5,6,16,25,53,.472,8,17,.471,12,19,.632,8,30,16,3,3,9,20
32,2023-03-09,Arkansas,L,73,76,25,51,.490,5,16,.313,18,27,.667,6,18,13,12,2,10,18,28,50,.560,3,11,.273,17,23,.739,13,35,15,8,2,18,19
1,2022-11-07,NC State,L,50,99,16,52,.308,1,8,.125,17,20,.850,6,20,8,6,1,19,14,40,65,.615,11,28,.393,8,10,.800,8,36,20,10,6,14,20
2,2022-11-11,Purdue,L,44,63,15,53,.283,4,24,.167,10,11,.909,6,20,6,4,1,5,17,24,48,.500,2,19,.105,13,17,.765,9,36,13,2,2,14,17
3,2022-11-14,Milligan,W,98,74,38,71,.535,11,27,.407,11,27,.407,13,40,23,19,2,8,17,25,58,.431,9,27,.333,15,22,.682,10,36,11,3,0,23,23
4,2022-11-17,South Florida,W,62,60,20,52,.385,12,29,.414,10,16,.625,9,32,15,4,4,10,15,24,58,.414,5,17,.294,7,10,.700,10,31,12,7,2,11,14
5,2022-11-21,Albany (NY),W,74,59,24,49,.490,3,13,.231,23,27,.852,4,26,11,2,3,7,18,20,48,.417,5,22,.227,14,21,.667,8,28,12,3,1,14,24
6,2022-11-22,Bucknell,L,65,79,22,65,.338,9,28,.321,12,17,.706,15,29,10,7,3,10,20,27,47,.574,7,17,.412,18,22,.818,10,34,16,6,4,19,18
8,2022-11-26,Howard,L,55,56,20,66,.303,8,30,.267,7,11,.636,10,31,14,8,3,8,9,20,43,.465,5,13,.385,11,15,.733,3,37,11,3,3,18,14
9,2022-11-30,Western Kentucky,L,74,75,29,58,.500,10,21,.476,6,8,.750,7,27,13,3,2,16,16,29,54,.537,4,12,.333,13,17,.765,5,22,14,11,7,8,12
10,2022-12-03,Tennessee State,W,77,61,26,51,.510,8,21,.381,17,20,.850,7,30,12,6,4,11,14,22,50,.440,3,11,.273,14,21,.667,8,24,13,7,2,11,17
11,2022-12-06,Kentucky Christian,W,102,57,37,72,.514,13,31,.419,15,23,.652,22,57,26,5,2,14,13,23,58,.397,7,25,.280,4,8,.500,2,17,12,8,1,13,20
12,2022-12-12,Lindsey Wilson,W,86,61,27,56,.482,7,19,.368,25,29,.862,10,32,14,11,5,18,25,20,52,.385,5,15,.333,16,20,.800,9,23,11,7,3,20,22
13,2022-12-16,Murray State,L,60,68,25,57,.439,4,12,.333,6,7,.857,8,31,11,6,4,13,11,27,58,.466,4,14,.286,10,14,.714,6,30,14,7,3,10,11
14,2022-12-21,Tennessee,L,44,86,14,55,.255,5,26,.192,11,14,.786,10,23,10,6,2,14,16,36,64,.563,8,18,.444,6,12,.500,16,46,27,11,3,13,12
15,2022-12-29,Queens (NC),L,77,81,28,62,.452,8,18,.444,13,15,.867,9,28,18,6,2,10,26,25,51,.490,7,19,.368,24,36,.667,9,32,14,4,2,13,18
16,2022-12-31,North Florida,L (1 OT),85,90,31,67,.463,9,17,.529,14,16,.875,8,33,17,4,4,6,25,31,68,.456,9,30,.300,19,28,.679,11,38,17,4,6,8,13
17,2023-01-05,Florida Gulf Coast,W,61,59,21,50,.420,6,21,.286,13,20,.650,7,27,12,11,3,12,12,21,48,.438,6,15,.400,11,15,.733,9,34,10,9,2,16,19
18,2023-01-07,Central Arkansas,W,86,62,32,58,.552,9,20,.450,13,16,.813,9,30,12,10,4,7,18,20,45,.444,3,13,.231,19,22,.864,4,18,8,6,2,16,14
19,2023-01-12,Lipscomb,L,65,87,25,62,.403,6,23,.261,9,13,.692,9,22,9,12,1,12,12,36,55,.655,6,15,.400,9,11,.818,5,33,18,4,2,18,12
20,2023-01-14,Lipscomb,L,72,86,25,62,.403,7,21,.333,15,16,.938,11,30,13,7,4,11,21,26,51,.510,10,22,.455,24,29,.828,7,30,17,5,2,13,18
21,2023-01-19,Bellarmine,L,45,56,16,45,.356,6,26,.231,7,7,1.000,2,23,10,3,2,7,14,20,51,.392,7,26,.269,9,11,.818,7,33,14,5,1,8,9
22,2023-01-21,Eastern Kentucky,L,59,74,23,52,.442,7,19,.368,6,6,1.000,2,23,12,7,8,17,15,28,65,.431,2,14,.143,16,22,.727,14,34,14,12,3,9,9
23,2023-01-26,Kennesaw State,L,57,84,18,53,.340,4,21,.190,17,33,.515,4,23,11,10,4,14,24,26,57,.456,6,19,.316,26,36,.722,14,47,15,12,3,15,23
24,2023-01-28,Jacksonville State,L,53,70,20,54,.370,5,26,.192,8,14,.571,5,24,7,7,0,7,24,21,41,.512,7,18,.389,21,32,.656,8,34,12,2,1,14,14
25,2023-02-02,Liberty,L,70,82,25,61,.410,11,22,.500,9,16,.563,10,28,12,7,2,5,24,27,50,.540,6,16,.375,22,29,.759,7,32,20,2,2,7,12
26,2023-02-04,Queens (NC),L,69,70,27,61,.443,6,20,.300,9,13,.692,5,28,15,10,5,14,19,22,51,.431,5,18,.278,21,29,.724,6,35,11,10,1,18,18
27,2023-02-09,North Alabama,L,57,70,22,58,.379,4,22,.182,9,14,.643,10,28,7,7,6,10,15,28,57,.491,4,13,.308,10,12,.833,9,33,7,5,3,11,13
28,2023-02-11,Central Arkansas,L,69,76,23,60,.383,6,22,.273,17,20,.850,13,32,7,4,5,13,15,28,59,.475,4,16,.250,16,23,.696,10,30,14,8,5,9,12
29,2023-02-16,Jacksonville,L,56,60,17,49,.347,11,28,.393,11,13,.846,7,30,11,5,3,12,14,20,50,.400,9,19,.474,11,14,.786,8,29,13,4,1,10,16
30,2023-02-18,North Florida,W,73,71,30,63,.476,6,18,.333,7,12,.583,11,33,12,8,2,6,12,25,53,.472,13,29,.448,8,9,.889,6,30,6,5,2,11,14
31,2023-02-22,Stetson,L,51,76,19,54,.352,8,24,.333,5,10,.500,5,19,10,9,2,8,13,25,51,.490,10,27,.370,16,17,.941,8,35,16,4,3,10,8
32,2023-02-24,Florida Gulf Coast,L,71,89,28,62,.452,8,33,.242,7,11,.636,5,26,19,6,1,10,16,30,58,.517,13,26,.500,16,20,.800,6,34,15,6,2,7,14
1,2022-11-07,Earlham,W,109,39,41,67,.612,4,17,.235,23,32,.719,12,48,23,14,10,9,12,16,65,.246,4,19,.211,3,6,.500,7,23,4,2,0,22,22
2,2022-11-12,Indiana State,L,71,83,25,60,.417,8,18,.444,13,19,.684,12,34,9,5,3,19,16,30,59,.508,8,27,.296,15,20,.750,7,27,13,12,3,12,16
3,2022-11-16,Omaha,W,71,61,22,53,.415,5,18,.278,22,28,.786,8,35,11,11,2,17,20,21,60,.350,6,20,.300,13,21,.619,14,35,9,6,5,17,23
4,2022-11-19,Indiana-South Bend,W,86,72,30,52,.577,10,21,.476,16,23,.696,9,38,17,3,6,14,10,28,62,.452,10,20,.500,6,8,.750,4,19,10,12,1,6,19
5,2022-11-25,Vermont,L,73,78,28,54,.519,6,17,.353,11,24,.458,9,28,17,10,3,11,17,28,53,.528,9,22,.409,13,18,.722,9,31,13,2,1,15,19
6,2022-11-26,Missouri State,W,67,64,23,51,.451,8,18,.444,13,21,.619,6,27,12,7,4,12,13,23,54,.426,9,21,.429,9,16,.563,9,28,7,8,3,14,23
7,2022-11-27,San Jose State,L,65,67,20,53,.377,4,17,.235,21,28,.750,10,22,7,4,5,7,18,25,54,.463,6,19,.316,11,14,.786,9,36,10,4,3,12,23
8,2022-12-03,Duquesne,L,77,78,26,48,.542,8,17,.471,17,25,.680,7,26,12,5,0,10,17,28,59,.475,11,22,.500,11,14,.786,11,31,13,4,5,11,21
9,2022-12-07,Eastern Illinois,W,76,59,27,55,.491,9,21,.429,13,16,.813,11,29,17,5,1,13,21,21,49,.429,1,11,.091,16,25,.640,8,22,11,6,3,11,19
10,2022-12-10,Evansville,W,88,69,24,54,.444,9,19,.474,31,40,.775,12,38,11,8,5,11,19,23,59,.390,9,18,.500,14,22,.636,10,33,12,6,4,13,27
11,2022-12-17,Illinois State,W,83,69,31,55,.564,7,15,.467,14,20,.700,6,26,19,4,8,11,13,28,67,.418,6,18,.333,7,13,.538,12,30,7,9,2,12,20
12,2022-12-21,Georgia Southern,W,58,54,17,47,.362,7,22,.318,17,27,.630,9,38,10,2,6,16,17,19,57,.333,2,14,.143,14,17,.824,7,30,4,7,4,8,23
13,2022-12-28,Chicago State,W,70,63,24,46,.522,6,19,.316,16,33,.485,5,28,11,8,8,6,15,22,59,.373,8,21,.381,11,15,.733,11,33,5,1,2,11,25
14,2023-01-03,Toledo,W,90,83,31,59,.525,11,22,.500,17,20,.850,10,38,14,2,3,10,22,30,58,.517,7,18,.389,16,22,.727,2,20,11,5,1,4,19
15,2023-01-06,Akron,W,70,63,23,58,.397,3,14,.214,21,28,.750,15,32,6,7,6,10,18,19,49,.388,3,12,.250,22,26,.846,9,31,3,6,3,16,26
16,2023-01-10,Ohio,L,71,76,23,51,.451,8,23,.348,17,24,.708,6,28,8,6,3,18,17,27,60,.450,10,21,.476,12,18,.667,9,30,12,9,3,13,20
17,2023-01-14,Miami (OH),W,75,61,26,59,.441,7,20,.350,16,25,.640,9,40,15,5,4,7,16,26,61,.426,1,13,.077,8,15,.533,5,32,7,2,3,9,20
18,2023-01-17,Western Michigan,W,71,70,27,59,.458,4,15,.267,13,22,.591,10,34,12,7,4,10,18,22,57,.386,9,18,.500,17,17,1.000,8,34,10,3,1,14,21
19,2023-01-20,Kent State,L,65,86,19,52,.365,8,24,.333,19,25,.760,11,26,8,3,1,15,19,30,59,.508,9,21,.429,17,23,.739,10,35,14,8,6,7,22
20,2023-01-24,Buffalo,L,65,91,24,60,.400,9,23,.391,8,16,.500,5,22,12,8,6,11,11,37,62,.597,11,22,.500,6,7,.857,6,38,14,7,4,15,13
21,2023-01-28,Northern Illinois,W,87,69,31,67,.463,13,28,.464,12,22,.545,19,42,15,8,2,9,17,23,49,.469,9,24,.375,14,20,.700,7,27,10,3,1,16,20
22,2023-01-31,Bowling Green State,W,69,60,23,46,.500,7,18,.389,16,29,.552,5,35,12,5,2,14,15,23,56,.411,4,11,.364,10,14,.714,4,29,7,10,0,9,20
23,2023-02-03,Eastern Michigan,W (1 OT),91,90,33,62,.532,10,26,.385,15,24,.625,8,36,18,2,6,12,12,35,68,.515,10,20,.500,10,12,.833,3,29,10,4,2,7,20
24,2023-02-07,Central Michigan,W,65,51,21,46,.457,5,17,.294,18,24,.750,8,35,11,8,3,14,13,19,56,.339,4,18,.222,9,12,.750,9,26,12,7,4,13,19
25,2023-02-11,Bowling Green State,W,93,72,34,61,.557,12,27,.444,13,25,.520,10,37,21,3,4,9,21,23,56,.411,6,20,.300,20,31,.645,10,31,5,6,1,10,22
26,2023-02-14,Northern Illinois,W,87,77,31,60,.517,9,22,.409,16,21,.762,10,38,15,4,2,11,13,29,63,.460,12,28,.429,7,13,.538,8,28,14,6,2,12,24
27,2023-02-18,Western Michigan,L,68,78,23,61,.377,7,25,.280,15,18,.833,13,36,8,6,0,14,16,27,59,.458,7,19,.368,17,23,.739,9,33,8,9,4,11,15
28,2023-02-21,Kent State,W,82,70,24,49,.490,7,20,.350,27,34,.794,7,34,18,0,2,11,20,24,59,.407,7,15,.467,15,21,.714,9,25,6,6,4,7,24
29,2023-02-25,Eastern Michigan,L,68,75,23,61,.377,6,21,.286,16,19,.842,9,30,12,7,4,9,15,25,57,.439,6,16,.375,19,23,.826,9,34,9,6,1,12,17
30,2023-02-28,Akron,L,83,87,31,60,.517,12,25,.480,9,11,.818,6,32,15,5,2,9,23,26,59,.441,12,31,.387,23,27,.852,9,29,12,5,0,9,14
31,2023-03-03,Toledo,L,81,87,31,57,.544,5,20,.250,14,19,.737,4,27,16,3,6,10,16,33,60,.550,10,15,.667,11,12,.917,4,25,14,7,1,7,17
32,2023-03-09,Ohio,L,70,90,25,62,.403,6,22,.273,14,17,.824,6,26,10,1,2,13,15,33,68,.485,11,25,.440,13,16,.813,13,39,10,10,2,10,17
1,2022-11-07,Mississippi Valley State,W,117,53,37,72,.514,14,34,.412,29,43,.674,21,47,27,12,7,9,22,16,49,.327,3,13,.231,18,29,.621,6,25,13,7,1,24,26
2,2022-11-11,Norfolk State,W,87,70,28,57,.491,15,38,.395,16,25,.640,13,27,20,12,3,15,20,24,48,.500,6,17,.353,16,21,.762,7,26,13,8,0,19,18
3,2022-11-14,Northern Colorado,W,95,62,37,70,.529,10,31,.323,11,16,.688,8,36,24,15,4,10,16,21,56,.375,10,29,.345,10,14,.714,4,29,16,5,1,23,19
4,2022-11-18,Virginia,L,79,86,28,58,.483,11,26,.423,12,14,.857,7,21,15,7,2,12,24,25,45,.556,9,14,.643,27,35,.771,3,19,20,8,3,12,15
5,2022-11-20,UCLA,W,80,75,25,56,.446,10,28,.357,20,23,.870,7,30,14,4,3,11,18,29,61,.475,4,15,.267,13,16,.813,7,28,15,3,4,8,17
6,2022-11-23,McNeese State,W,89,60,34,60,.567,12,30,.400,9,17,.529,10,31,30,11,2,11,17,20,52,.385,9,21,.429,11,16,.688,11,30,13,9,2,20,19
7,2022-11-29,Marquette,L,70,96,27,56,.482,9,24,.375,7,10,.700,10,28,12,5,0,18,16,35,60,.583,12,25,.480,14,15,.933,6,22,23,12,4,9,12
8,2022-12-02,Gonzaga,W,64,63,23,62,.371,6,24,.250,12,15,.800,6,30,8,7,5,14,16,22,61,.361,6,22,.273,13,21,.619,13,37,12,9,3,17,18
9,2022-12-06,Tarleton State,W,80,57,26,56,.464,7,20,.350,21,29,.724,14,36,13,8,4,18,24,19,46,.413,3,11,.273,16,29,.552,6,20,7,9,3,18,26
10,2022-12-18,Washington State,W,65,59,23,50,.460,6,24,.250,13,16,.813,9,27,14,9,3,12,17,21,52,.404,10,29,.345,7,12,.583,11,28,14,7,1,14,18
11,2022-12-20,Northwestern State,W,58,48,21,54,.389,8,25,.320,8,11,.727,11,38,13,3,1,13,9,19,60,.317,7,28,.250,3,6,.500,12,32,7,7,1,10,15
12,2022-12-28,Nicholls State,W,85,56,25,58,.431,11,24,.458,24,35,.686,13,44,19,12,6,18,16,23,62,.371,2,18,.111,8,16,.500,9,31,15,9,1,20,25
13,2022-12-31,Iowa State,L,62,77,20,53,.377,5,22,.227,17,23,.739,8,26,7,7,3,19,19,26,52,.500,10,23,.435,15,20,.750,7,27,17,9,4,14,21
14,2023-01-04,TCU,L,87,88,24,54,.444,11,24,.458,28,33,.848,11,35,16,3,4,15,18,33,68,.485,3,14,.214,19,23,.826,9,27,18,7,4,7,20
15,2023-01-07,Kansas State,L (1 OT),95,97,29,65,.446,8,25,.320,29,38,.763,13,32,21,7,3,12,20,34,64,.531,11,25,.440,18,21,.857,7,29,24,4,6,12,25
16,2023-01-11,West Virginia,W,83,78,23,52,.442,9,23,.391,28,36,.778,9,32,10,5,2,9,27,23,60,.383,8,24,.333,24,33,.727,12,34,15,1,3,7,26
17,2023-01-14,Oklahoma State,W,74,58,25,54,.463,9,24,.375,15,22,.682,8,35,18,2,1,10,14,23,60,.383,7,33,.212,5,8,.625,6,27,12,2,6,10,19
18,2023-01-17,Texas Tech,W,81,74,28,58,.483,11,29,.379,14,18,.778,11,28,16,7,1,3,18,27,53,.509,12,31,.387,8,15,.533,10,29,17,2,2,9,14
19,2023-01-21,Oklahoma,W,62,60,21,58,.362,7,20,.350,13,17,.765,14,34,6,3,1,10,9,26,57,.456,5,21,.238,3,4,.750,7,26,15,6,5,12,13
20,2023-01-23,Kansas,W,75,69,23,62,.371,9,30,.300,20,25,.800,13,27,11,9,2,9,16,24,52,.462,5,19,.263,16,16,1.000,7,31,11,5,4,13,21
21,2023-01-28,Arkansas,W,67,64,20,59,.339,6,18,.333,21,24,.875,11,29,5,7,1,8,19,27,53,.509,4,14,.286,6,11,.545,10,32,16,4,6,14,23
22,2023-01-30,Texas,L,71,76,25,68,.368,8,26,.308,13,16,.813,9,29,9,5,0,9,17,26,55,.473,8,22,.364,16,23,.696,8,35,14,7,5,9,18
23,2023-02-04,Texas Tech,W,89,62,35,65,.538,10,24,.417,9,13,.692,8,32,26,4,1,8,13,24,55,.436,5,20,.250,9,11,.818,3,23,13,4,1,12,15
24,2023-02-08,Oklahoma,W,82,72,27,58,.466,9,28,.321,19,26,.731,9,32,10,7,3,7,15,29,59,.492,8,23,.348,6,12,.500,7,31,14,6,3,14,22
25,2023-02-11,TCU,W,72,68,25,54,.463,10,26,.385,12,13,.923,6,24,12,6,3,12,15,28,53,.528,2,10,.200,10,16,.625,9,28,16,6,4,13,13
26,2023-02-13,West Virginia,W,79,67,26,51,.510,14,27,.519,13,15,.867,9,23,19,6,1,13,16,24,53,.453,7,21,.333,12,16,.750,14,28,18,8,3,11,15
27,2023-02-18,Kansas,L,71,87,26,59,.441,10,25,.400,9,16,.563,7,27,8,1,0,10,20,29,57,.509,6,21,.286,23,27,.852,7,33,17,6,3,4,14
28,2023-02-21,Kansas State,L,65,75,22,55,.400,11,28,.393,10,16,.625,11,34,15,3,3,13,16,28,58,.483,4,21,.190,15,21,.714,7,29,20,5,1,7,14
29,2023-02-25,Texas,W,81,72,25,50,.500,9,19,.474,22,29,.759,7,33,12,8,4,21,17,27,60,.450,10,27,.370,8,12,.667,6,25,20,7,1,15,22
30,2023-02-27,Oklahoma State,W,74,68,23,55,.418,11,31,.355,17,20,.850,9,25,13,6,0,10,16,27,68,.397,9,32,.281,5,9,.556,21,38,13,4,2,10,17
31,2023-03-04,Iowa State,L,58,73,19,53,.358,10,28,.357,10,18,.556,7,20,9,3,1,13,18,26,48,.542,6,16,.375,15,22,.682,7,33,19,6,1,12,18
32,2023-03-09,Iowa State,L,72,78,23,51,.451,14,29,.483,12,13,.923,3,15,12,9,2,11,18,30,61,.492,8,21,.381,10,14,.714,20,43,15,9,6,13,15
1,2022-11-09,Louisville,W,67,66,21,43,.488,7,15,.467,18,22,.818,3,26,9,3,1,11,15,22,52,.423,11,28,.393,11,14,.786,10,32,12,3,3,13,19
2,2022-11-12,Morehead State,L,55,62,20,60,.333,3,23,.130,12,14,.857,8,28,7,5,3,6,23,15,51,.294,8,32,.250,24,32,.750,12,42,11,5,3,12,18
3,2022-11-14,Campbellsville,W,86,46,32,56,.571,10,23,.435,12,21,.571,9,36,24,8,2,12,13,17,47,.362,7,25,.280,5,10,.500,4,18,12,7,1,16,17
4,2022-11-18,Clemson,L,66,76,21,49,.429,9,22,.409,15,20,.750,5,23,12,3,0,9,19,22,47,.468,13,28,.464,19,22,.864,5,26,14,5,3,9,19
5,2022-11-21,Duke,L,57,74,23,54,.426,6,17,.353,5,6,.833,5,20,12,4,0,7,15,25,55,.455,14,35,.400,10,11,.909,11,35,18,2,4,8,14
6,2022-11-25,Loyola Marymount,L,59,80,22,51,.431,5,22,.227,10,13,.769,6,27,14,2,2,15,22,23,54,.426,15,33,.455,19,25,.760,8,26,16,6,0,8,18
7,2022-11-27,UCLA,L,60,81,23,54,.426,11,32,.344,3,6,.500,7,23,16,5,0,19,20,31,51,.608,3,16,.188,16,22,.727,3,25,26,15,4,8,12
8,2022-11-29,Kentucky,L,41,60,14,46,.304,8,28,.286,5,6,.833,2,20,9,7,0,9,13,22,53,.415,7,22,.318,9,11,.818,12,39,16,6,4,12,9
9,2022-12-04,Alice Lloyd,W,110,38,39,72,.542,23,40,.575,9,13,.692,15,38,34,12,2,5,8,15,43,.349,4,18,.222,4,8,.500,5,24,6,3,1,26,12
10,2022-12-06,Wabash,W,86,45,34,61,.557,13,21,.619,5,9,.556,6,33,20,11,4,5,7,19,53,.358,7,27,.259,0,2,.000,3,20,10,1,4,13,9
11,2022-12-10,Murray State,W,69,58,24,53,.453,6,22,.273,15,18,.833,6,27,12,5,1,11,21,18,48,.375,4,18,.222,18,22,.818,7,27,8,7,0,14,19
12,2022-12-17,Miami (OH),L,67,71,23,41,.561,7,20,.350,14,14,1.000,2,23,12,10,3,18,25,19,46,.413,10,25,.400,23,29,.793,8,23,12,4,1,15,18
